Método,N Features,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Baseline,30,0.9883040935672515,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.9981016355140186
Filter,17,0.9649122807017544,0.954954954954955,0.9906542056074766,0.9724770642201835,0.9973714953271028
Wrapper,10,0.9707602339181286,0.9722222222222222,0.9813084112149533,0.9767441860465116,0.992552570093458
Embedded,8,0.9707602339181286,0.9636363636363636,0.9906542056074766,0.9769585253456221,0.9950350467289719
Hybrid,10,0.9707602339181286,0.9636363636363636,0.9906542056074766,0.9769585253456221,0.9948890186915887
Borda,10,0.9707602339181286,0.9636363636363636,0.9906542056074766,0.9769585253456221,0.990070093457944
